pizza_name_id,pizza_size,pizza_ingredients,Total_Required_Quantity_Grams
bbq_ckn_l,L,Barbecue Sauce,316.03489398052017
bbq_ckn_l,L,Barbecued Chicken,842.7597172813871
bbq_ckn_l,L,Green Peppers,421.37985864069356
bbq_ckn_l,L,Red Onions,1264.1395759220807
bbq_ckn_l,L,Red Peppers,316.03489398052017
bbq_ckn_l,L,Tomatoes,632.0697879610403
bbq_ckn_m,L,Barbecue Sauce,0.21260335955635395
bbq_ckn_m,L,Barbecued Chicken,0.6378100786690619
bbq_ckn_m,L,Green Peppers,0.31890503933453096
bbq_ckn_m,L,Red Onions,0.8504134382254158
bbq_ckn_m,L,Red Peppers,0.21260335955635395
bbq_ckn_m,L,Tomatoes,0.4252067191127079
bbq_ckn_m,M,Barbecue Sauce,203.2488117358744
bbq_ckn_m,M,Barbecued Chicken,609.7464352076232
bbq_ckn_m,M,Green Peppers,304.8732176038116
bbq_ckn_m,M,Red Onions,812.9952469434976
bbq_ckn_m,M,Red Peppers,203.2488117358744
bbq_ckn_m,M,Tomatoes,406.4976234717488
bbq_ckn_s,S,Barbecue Sauce,51.450013012637655
bbq_ckn_s,S,Barbecued Chicken,205.80005205055062
bbq_ckn_s,S,Green Peppers,205.80005205055062
bbq_ckn_s,S,Red Onions,205.80005205055062
bbq_ckn_s,S,Red Peppers,51.450013012637655
bbq_ckn_s,S,Tomatoes,102.90002602527531
big_meat_s,S,Bacon,6103.842452862922
big_meat_s,S,Chorizo Sausage,2034.6141509543074
big_meat_s,S,Italian Sausage,406.9228301908615
big_meat_s,S,Pepperoni,2034.6141509543074
brie_carre_s,S,Brie Carre Cheese,312.52693854784036
brie_carre_s,S,Caramelized Onions,0.0
brie_carre_s,S,Garlic,52.087823091306724
brie_carre_s,S,Pears,104.17564618261345
brie_carre_s,S,Prosciutto,312.52693854784036
brie_carre_s,S,Thyme,52.087823091306724
calabrese_l,L,?duja Salami,352.0711634253222
calabrese_l,L,Friggitello Peppers,88.01779085633055
calabrese_l,L,Garlic,88.01779085633055
calabrese_l,L,Pancetta,528.1067451379832
calabrese_l,L,Red Onions,352.0711634253222
calabrese_l,L,Tomatoes,176.0355817126611
calabrese_m,M,?duja Salami,477.9323522826837
calabrese_m,M,Friggitello Peppers,119.48308807067093
calabrese_m,M,Garlic,119.48308807067093
calabrese_m,M,Pancetta,716.8985284240256
calabrese_m,M,Red Onions,477.9323522826837
calabrese_m,M,Tomatoes,238.96617614134186
calabrese_s,S,?duja Salami,42.09546519215809
calabrese_s,S,Friggitello Peppers,10.523866298039522
calabrese_s,S,Garlic,10.523866298039522
calabrese_s,S,Pancetta,63.14319778823713
calabrese_s,S,Red Onions,42.09546519215809
calabrese_s,S,Tomatoes,21.047732596079044
cali_ckn_l,L,Artichokes,393.74142189836755
cali_ckn_l,L,Chicken,2953.0606642377566
cali_ckn_l,L,Fontina Cheese,590.6121328475513
cali_ckn_l,L,Garlic,295.30606642377563
cali_ckn_l,L,Gouda Cheese,590.6121328475513
cali_ckn_l,L,Jalapeno Peppers,295.30606642377563
cali_ckn_l,L,Spinach,885.9181992713269
cali_ckn_m,M,Artichokes,301.0463571317972
cali_ckn_m,M,Chicken,2006.9757142119815
cali_ckn_m,M,Fontina Cheese,401.3951428423963
cali_ckn_m,M,Garlic,200.69757142119815
cali_ckn_m,M,Gouda Cheese,401.3951428423963
cali_ckn_m,M,Jalapeno Peppers,200.69757142119815
cali_ckn_m,M,Spinach,602.0927142635944
cali_ckn_s,L,Artichokes,0.21260335955635395
cali_ckn_s,L,Chicken,1.0630167977817697
cali_ckn_s,L,Fontina Cheese,0.21260335955635395
cali_ckn_s,L,Garlic,0.10630167977817698
cali_ckn_s,L,Gouda Cheese,0.21260335955635395
cali_ckn_s,L,Jalapeno Peppers,0.10630167977817698
cali_ckn_s,L,Spinach,0.31890503933453096
cali_ckn_s,S,Artichokes,106.08907641862062
cali_ckn_s,S,Chicken,530.4453820931031
cali_ckn_s,S,Fontina Cheese,106.08907641862062
cali_ckn_s,S,Garlic,53.04453820931031
cali_ckn_s,S,Gouda Cheese,106.08907641862062
cali_ckn_s,S,Jalapeno Peppers,53.04453820931031
cali_ckn_s,S,Spinach,159.13361462793094
ckn_alfredo_l,L,Alfredo Sauce,79.93886319318909
ckn_alfredo_l,L,Asiago Cheese,119.90829478978365
ckn_alfredo_l,L,Chicken,599.5414739489182
ckn_alfredo_l,L,Mushrooms,239.8165895795673
ckn_alfredo_l,L,Red Onions,239.8165895795673
ckn_alfredo_l,L,Red Peppers,59.95414739489183
ckn_alfredo_m,M,Alfredo Sauce,224.19024265217527
ckn_alfredo_m,M,Asiago Cheese,298.9203235362337
ckn_alfredo_m,M,Chicken,1494.6016176811686
ckn_alfredo_m,M,Mushrooms,597.8406470724674
ckn_alfredo_m,M,Red Onions,597.8406470724674
ckn_alfredo_m,M,Red Peppers,149.46016176811685
ckn_alfredo_s,S,Alfredo Sauce,20.40992251740998
ckn_alfredo_s,S,Asiago Cheese,20.40992251740998
ckn_alfredo_s,S,Chicken,102.0496125870499
ckn_alfredo_s,S,Mushrooms,40.81984503481996
ckn_alfredo_s,S,Red Onions,40.81984503481996
ckn_alfredo_s,S,Red Peppers,10.20496125870499
ckn_pesto_l,L,Chicken,1272.4311069447785
ckn_pesto_l,L,Garlic,127.24311069447785
ckn_pesto_l,L,Pesto Sauce,254.4862213889557
ckn_pesto_l,L,Red Peppers,127.24311069447785
ckn_pesto_l,L,Spinach,381.7293320834335
ckn_pesto_l,L,Tomatoes,254.4862213889557
ckn_pesto_m,M,Chicken,586.7852723755369
ckn_pesto_m,M,Garlic,58.678527237553695
ckn_pesto_m,M,Pesto Sauce,117.35705447510739
ckn_pesto_m,M,Red Peppers,58.678527237553695
ckn_pesto_m,M,Spinach,176.0355817126611
ckn_pesto_m,M,Tomatoes,117.35705447510739
ckn_pesto_s,S,Chicken,316.7790057389674
ckn_pesto_s,S,Garlic,31.67790057389674
ckn_pesto_s,S,Pesto Sauce,63.35580114779348
ckn_pesto_s,S,Red Peppers,31.67790057389674
ckn_pesto_s,S,Spinach,95.03370172169022
ckn_pesto_s,S,Tomatoes,63.35580114779348
classic_dlx_l,L,Bacon,1206.7366688418651
classic_dlx_l,L,Mushrooms,603.3683344209326
classic_dlx_l,L,Pepperoni,603.3683344209326
classic_dlx_l,L,Red Onions,603.3683344209326
classic_dlx_l,L,Red Peppers,150.84208360523314
classic_dlx_m,M,Bacon,2510.8456763605404
classic_dlx_m,M,Mushrooms,1004.3382705442161
classic_dlx_m,M,Pepperoni,1004.3382705442161
classic_dlx_m,M,Red Onions,1004.3382705442161
classic_dlx_m,M,Red Peppers,251.08456763605403
classic_dlx_s,S,Bacon,849.350421427634
classic_dlx_s,S,Mushrooms,339.74016857105363
classic_dlx_s,S,Pepperoni,339.74016857105363
classic_dlx_s,S,Red Onions,339.74016857105363
classic_dlx_s,S,Red Peppers,84.93504214276341
five_cheese_l,L,Blue Cheese,898.6744008447081
five_cheese_l,L,Garlic,449.33720042235404
five_cheese_l,L,Mozzarella Cheese,898.6744008447081
five_cheese_l,L,Provolone Cheese,898.6744008447081
five_cheese_l,L,Romano Cheese,898.6744008447081
five_cheese_l,L,Smoked Gouda Cheese,898.6744008447081
four_cheese_l,L,Garlic,419.6790317642428
four_cheese_l,L,Gorgonzola Piccante Cheese,1119.1440847046474
four_cheese_l,L,Mozzarella Cheese,559.5720423523237
four_cheese_l,L,Parmigiano Reggiano Cheese,2518.0741905854566
four_cheese_l,L,Ricotta Cheese,1398.9301058808092
four_cheese_m,M,Garlic,124.58556870002342
four_cheese_m,M,Gorgonzola Piccante Cheese,249.17113740004683
four_cheese_m,M,Mozzarella Cheese,124.58556870002342
four_cheese_m,M,Parmigiano Reggiano Cheese,747.5134122001405
four_cheese_m,M,Ricotta Cheese,311.46392175005855
green_garden_l,L,Feta Cheese,80.78927663141451
green_garden_l,L,Green Olives,30.29597873678044
green_garden_l,L,Mushrooms,121.18391494712176
green_garden_l,L,Spinach,90.88793621034132
green_garden_l,L,Tomatoes,60.59195747356088
green_garden_m,M,Feta Cheese,128.41242917203778
green_garden_m,M,Green Olives,64.20621458601889
green_garden_m,M,Mushrooms,256.82485834407555
green_garden_m,M,Spinach,192.6186437580567
green_garden_m,M,Tomatoes,128.41242917203778
green_garden_m,S,Feta Cheese,0.4252067191127079
green_garden_m,S,Green Olives,0.21260335955635395
green_garden_m,S,Mushrooms,0.8504134382254158
green_garden_m,S,Spinach,0.6378100786690619
green_garden_m,S,Tomatoes,0.4252067191127079
green_garden_s,S,Feta Cheese,127.34941237425602
green_garden_s,S,Green Olives,63.67470618712801
green_garden_s,S,Mushrooms,254.69882474851204
green_garden_s,S,Spinach,191.02411856138403
green_garden_s,S,Tomatoes,127.34941237425602
hawaiian_l,L,Mozzarella Cheese,586.147462296868
hawaiian_l,L,Pineapple,879.2211934453019
hawaiian_l,L,Sliced Ham,0.0
hawaiian_m,M,Mozzarella Cheese,205.37484533143794
hawaiian_m,M,Pineapple,308.0622679971569
hawaiian_m,M,Sliced Ham,0.0
hawaiian_s,S,Mozzarella Cheese,216.85542674748106
hawaiian_s,S,Pineapple,325.2831401212216
hawaiian_s,S,Sliced Ham,0.0
ital_cpcllo_l,L,Capocollo,2334.3848879287666
ital_cpcllo_l,L,Garlic,233.43848879287668
ital_cpcllo_l,L,Goat Cheese,933.7539551715067
ital_cpcllo_l,L,Oregano,233.43848879287668
ital_cpcllo_l,L,Red Peppers,233.43848879287668
ital_cpcllo_l,L,Tomatoes,466.87697758575337
ital_cpcllo_m,M,Capocollo,858.91757260767
ital_cpcllo_m,M,Garlic,85.89175726076701
ital_cpcllo_m,M,Goat Cheese,343.56702904306803
ital_cpcllo_m,M,Oregano,85.89175726076701
ital_cpcllo_m,M,Red Peppers,85.89175726076701
ital_cpcllo_m,M,Tomatoes,171.78351452153402
ital_cpcllo_s,S,Capocollo,321.03107293009447
ital_cpcllo_s,S,Garlic,32.103107293009444
ital_cpcllo_s,S,Goat Cheese,128.41242917203778
ital_cpcllo_s,S,Oregano,32.103107293009444
ital_cpcllo_s,S,Red Peppers,32.103107293009444
ital_cpcllo_s,S,Tomatoes,64.20621458601889
ital_supr_l,L,Calabrese Salami,2379.031593435601
ital_supr_l,L,Capocollo,2379.031593435601
ital_supr_l,L,Garlic,237.9031593435601
ital_supr_l,L,Green Olives,237.9031593435601
ital_supr_l,L,Red Onions,951.6126373742404
ital_supr_l,L,Tomatoes,475.8063186871202
ital_supr_m,M,Calabrese Salami,2000.5976134252908
ital_supr_m,M,Capocollo,2000.5976134252908
ital_supr_m,M,Garlic,200.05976134252907
ital_supr_m,M,Green Olives,200.05976134252907
ital_supr_m,M,Red Onions,800.2390453701163
ital_supr_m,M,Tomatoes,400.11952268505814
ital_supr_s,L,Calabrese Salami,1.0630167977817697
ital_supr_s,L,Capocollo,1.0630167977817697
ital_supr_s,L,Garlic,0.10630167977817698
ital_supr_s,L,Green Olives,0.10630167977817698
ital_supr_s,L,Red Onions,0.4252067191127079
ital_supr_s,L,Tomatoes,0.21260335955635395
ital_supr_s,S,Calabrese Salami,208.35129236522687
ital_supr_s,S,Capocollo,208.35129236522687
ital_supr_s,S,Garlic,20.835129236522686
ital_supr_s,S,Green Olives,20.835129236522686
ital_supr_s,S,Red Onions,83.34051694609074
ital_supr_s,S,Tomatoes,41.67025847304537
ital_veggie_l,L,Artichokes,80.78927663141451
ital_veggie_l,L,Eggplant,242.36782989424353
ital_veggie_l,L,Garlic,60.59195747356088
ital_veggie_l,L,Pesto Sauce,121.18391494712176
ital_veggie_l,L,Red Peppers,60.59195747356088
ital_veggie_l,L,Tomatoes,121.18391494712176
ital_veggie_l,L,Zucchini,121.18391494712176
ital_veggie_m,M,Artichokes,154.98784911658203
ital_veggie_m,M,Eggplant,413.30093097755207
ital_veggie_m,M,Garlic,103.32523274438802
ital_veggie_m,M,Pesto Sauce,206.65046548877604
ital_veggie_m,M,Red Peppers,103.32523274438802
ital_veggie_m,M,Tomatoes,206.65046548877604
ital_veggie_m,M,Zucchini,206.65046548877604
ital_veggie_s,S,Artichokes,64.84402466468796
ital_veggie_s,S,Eggplant,129.68804932937593
ital_veggie_s,S,Garlic,32.42201233234398
ital_veggie_s,S,Pesto Sauce,64.84402466468796
ital_veggie_s,S,Red Peppers,32.42201233234398
ital_veggie_s,S,Tomatoes,64.84402466468796
ital_veggie_s,S,Zucchini,64.84402466468796
mediterraneo_l,L,Artichokes,157.32648607170194
mediterraneo_l,L,Feta Cheese,314.6529721434039
mediterraneo_l,L,Kalamata Olives,117.99486455377644
mediterraneo_l,L,Plum Tomatoes,471.97945821510575
mediterraneo_l,L,Red Onions,471.97945821510575
mediterraneo_l,L,Spinach,353.9845936613293
mediterraneo_l,L,Sun-dried Tomatoes,117.99486455377644
mediterraneo_m,M,Artichokes,87.69888581699601
mediterraneo_m,M,Feta Cheese,116.93184775599468
mediterraneo_m,M,Kalamata Olives,58.46592387799734
mediterraneo_m,M,Plum Tomatoes,233.86369551198936
mediterraneo_m,M,Red Onions,233.86369551198936
mediterraneo_m,M,Spinach,175.39777163399202
mediterraneo_m,M,Sun-dried Tomatoes,58.46592387799734
mediterraneo_s,S,Artichokes,61.442370911786305
mediterraneo_s,S,Feta Cheese,61.442370911786305
mediterraneo_s,S,Kalamata Olives,30.721185455893153
mediterraneo_s,S,Plum Tomatoes,122.88474182357261
mediterraneo_s,S,Red Onions,122.88474182357261
mediterraneo_s,S,Spinach,92.16355636767946
mediterraneo_s,S,Sun-dried Tomatoes,30.721185455893153
mexicana_l,L,Chipotle Sauce,552.9813382060767
mexicana_l,L,Cilantro,276.49066910303833
mexicana_l,L,Corn,1843.271127353589
mexicana_l,L,Garlic,276.49066910303833
mexicana_l,L,Jalapeno Peppers,276.49066910303833
mexicana_l,L,Red Onions,1105.9626764121533
mexicana_l,L,Red Peppers,276.49066910303833
mexicana_l,L,Tomatoes,552.9813382060767
mexicana_m,M,Chipotle Sauce,193.4690571962821
mexicana_m,M,Cilantro,96.73452859814105
mexicana_m,M,Corn,677.1417001869874
mexicana_m,M,Garlic,96.73452859814105
mexicana_m,M,Jalapeno Peppers,96.73452859814105
mexicana_m,M,Red Onions,386.9381143925642
mexicana_m,M,Red Peppers,96.73452859814105
mexicana_m,M,Tomatoes,193.4690571962821
mexicana_s,S,Chipotle Sauce,34.44174424812934
mexicana_s,S,Cilantro,17.22087212406467
mexicana_s,S,Corn,103.32523274438802
mexicana_s,S,Garlic,17.22087212406467
mexicana_s,S,Jalapeno Peppers,17.22087212406467
mexicana_s,S,Red Onions,68.88348849625868
mexicana_s,S,Red Peppers,17.22087212406467
mexicana_s,S,Tomatoes,34.44174424812934
napolitana_l,L,Anchovies,481.3340060355854
